Facility Code,Facility Type,Facility Name,City,State
CAC,C,ADAMS COUNTY CORR CTR CCM,Natchez,MS
CAT,C,ATLANTA CCM,Atlanta,GA
CBR,C,BALTIMORE CCM,Baltimore,MD
CBS,C,BIG SPRING CCM,Big Spring,TX
CBN,C,BOSTON CCM,Boston,MA
CCF,C,CALIFORNIA CITY CCM,California City,CA
CCH,C,CHICAGO CCM,Chicago,IL
CCB,C,CIBOLA COUNTY CCM,Grants,NM
CCN,C,CINCINNATI CCM,Cincinnati,OH
CRJ,C,D. RAY JAMES CORR FCL CCM,Folkston,GA
CDL,C,DALBY CCM,Post,TX
CDA,C,DALLAS CCM,Dallas,TX
CDE,C,DENVER CCM,Denver,CO
CDT ,C,DETROIT CCM,Milan,MI
CDC,C,DIST OF COLUMBIA CCM ,Washington,DC
CED ,C,EDEN CCM,Eden,TX
CEP,C,EL PASO CCM,El Paso,TX
CGP ,C,GREAT PLAINS CCM,Hinton,OK
CHN ,C,HOUSTON CCM,Houston,TX
CNK,C,NEW YORK CCM,New York,NY
BRO,T,BROOKLYN MDC,Brooklyn,NY
NYM,T,NEW YORK MCC,New York,NY
OTV,T,OTISVILLE FCI,Otisville,NY
RBK,T,RAY BROOK FCI,Ray Brook,NY
