status_code,reason_code,description
CLD,DNY,REQUEST OR APPEAL DENIED SUBSTANTIALLY IN FULL.
CLG,GRT,REQUEST OR APPEAL GRANTED SUBSTANTIALLY IN FULL.
CLG,PAR,REQUEST OR APPEAL PARTIALLY GRANTED.
CLG,PVG,REQUEST OR APPEAL PREVIOUSLY GRANTED.
CLO,ISJ,IMPROPER SUBJECT MATTER.
CLO,MOT,REQUEST OR APPEAL IS MOOT.
CLO,OTH,OTHER
CLO,REP,REQUEST OR APPEAL DENIED AS REPETITIVE OF PREVIOUS FILING.
CLO,WDN,WITHDRAWN AT INMATE'S REQUEST.
CLO,XPL,INFORMATION OR EXPLANATION ONLY.
REJ,CDC,YOU MUST WAIT FOR THE CCM'S DECISION OF THE CDC HEARING BEFORE YOU MAY APPEAL TO THE REGIONAL OFFICE. RESUBMIT YOUR APPEAL TO THIS OFFICE WITHIN 30 DAYS OF THE CCM'S DECISION.
REJ,CON,"YOU DID NOT SUBMIT YOUR REQUEST THROUGH YOUR COUNSELOR, OR OTHER AUTHORIZED PERSON."
REJ,CPG,YOU DID NOT SUBMIT THE PROPER NUMBER OF CONTINUATION PAGES. YOU MUST SUBMIT ONE COPY AT THE WARDEN’S LEVEL; TWO COPIES AT THE REGIONAL DIRECTOR’S LEVEL; AND THREE COPIES AT THE CENTRAL OFFICE LEVEL.
REJ,DHO,YOU DID NOT PROVIDE A COPY OF THE DHO REPORT; OR YOU DID NOT OTHERWISE IDENTIFY THE CHARGES AND DATE OF THE DHO ACTION YOU ARE APPEALING.
REJ,DHR,YOU MUST WAIT FOR THE DHO'S DECISION OF THE DHO HEARING BEFORE YOU MAY APPEAL TO THE REGIONAL OFFICE. RESUBMIT YOUR APPEAL TO THIS OFFICE WITHIN 20 DAYS OF THE DATE YOU RECEIVE THE DHO'S DECISION.
REJ,EXH,YOU DID NOT SUBMIT THE PROPER NUMBER OF EXHIBITS. YOU MUST SUBMIT ONE COPY AT THE WARDEN’S LEVEL; TWO COPIES AT THE REGIONAL DIRECTOR’S LEVEL; AND THREE COPIES AT THE CENTRAL OFFICE LEVEL.
REJ,FRM,"YOU DID NOT SUBMIT YOUR REQUEST OR APPEAL ON THE PROPER FORM (BP-9, BP-10, BP-11)."
REJ,IAT,YOU DID NOT PROVIDE A COPY OF THE ATTACHMENT(S) TO YOUR INSTITUTION ADMINISTRATIVE REMEDY REQUEST (BP-9).
REJ,IMP,"IMPROPER SUBJECT MATTER (FOI/PA REQUEST,ETC.)"
REJ,INF,"YOU DID NOT ATTEMPT INFORMAL RESOLUTION PRIOR TO SUBMISSION OF ADMINISTRATIVE REMEDY, OR YOU DID NOT PROVIDE THE NECESSARY EVIDENCE OF YOUR ATTEMPT AT INFORMAL RESOLUTION."
REJ,INS,YOU MUST FIRST FILE A BP-9 REQUEST THROUGH THE INSTITUTION FOR THE WARDEN'S REVIEW AND RESPONSE BEFORE FILING AN APPEAL AT THIS LEVEL.
REJ,IRQ,"YOU DID NOT PROVIDE A COPY OF YOUR INSTITUTION ADMINISTRATIVE REMEDY REQUEST (BP-9), OR A RECEIPT, OR YOU DID NOT PROVIDE A VERIFIED PHOTOCOPY."
REJ,MLT,YOU ARE APPEALING MORE THAN ONE INCIDENT REPORT (INCIDENT NUMBER) ON A SINGLE APPEAL FORM. YOU MUST FILE A SEPARATE APPEAL FOR EACH INCIDENT REPORT (INCIDENT NUMBER) YOU WISH TO APPEAL.
REJ,MSI,YOU MUST PROVIDE MORE SPECIFIC INFORMATION ABOUT YOUR REQUEST/APPEAL SO THAT IT MAY BE CONSIDERED.
REJ,OBS,YOUR REQUEST CONTAINS GRATUITOUS OBSCENE OR ABUSIVE LANGUAGE.
REJ,ONE,"YOU MAY ONLY SUBMIT UP TO ONE LETTER-SIZE (8 1/2"" X 11"") CONTINUATION PAGE."
REJ,OTH,SEE REMARKS.
REJ,QUA,YOU DID NOT SUBMIT A COMPLETE SET (4 CARBONIZED COPIES) OF THE REQUEST OR APPEAL FORM.
REJ,RAP,"YOU DID NOT PROVIDE A COPY OF THE REGIONAL APPEAL, OR A RECEIPT, OR YOU DID NOT PROVIDE A VERIFIED PHOTOCOPY."
REJ,RAT,YOU DID NOT PROVIDE A COPY OF THE ATTACHMENT(S) TO YOUR REGIONAL APPEAL.
REJ,RSA,YOU MAY RESUBMIT YOUR APPEAL IN PROPER FORM WITHIN 15 DAYS OF THE DATE OF THIS REJECTION NOTICE.
REJ,RSF,YOU MAY RESUBMIT YOUR REQUEST IN PROPER FORM WITHIN 5 DAYS OF THE DATE OF THIS REJECTION NOTICE.
REJ,RSR,YOU MAY RESUBMIT YOUR APPEAL IN PROPER FORM WITHIN 10 DAYS OF THE DATE OF THIS REJECTION NOTICE.
REJ,SEN,THE ISSUE YOU RAISE IS NOT A SENSITIVE ISSUE. YOUR REQUEST/APPEAL IS NOT BEING RETURNED TO YOU IN ACCORDANCE WITH POLICY.
REJ,SIG,YOU DID NOT SIGN YOUR REQUEST OR APPEAL.
REJ,UTA,YOUR APPEAL IS UNTIMELY. CENTRAL OFFICE APPEALS MUST BE RECEIVED WITHIN 30 DAYS OF THE REGIONAL DIRECTOR'S RESPONSE. THIS TIME LIMIT INCLUDES MAIL TIME.
REJ,UTF,YOUR REQUEST IS UNTIMELY. INSTITUTION AND CCC REQUESTS MUST BE RECEIVED WITHIN 20 DAYS OF THE EVENT COMPLAINED ABOUT.
REJ,UTR,YOUR APPEAL IS UNTIMELY. REGIONAL APPEALS MUST BE RECEIVED WITHIN 20 DAYS OF THE WARDEN'S OR CCM'S RESPONSE. THIS TIME LIMIT INCLUDES MAIL TIME.
REJ,WRL,YOU SUBMITTED YOUR REQUEST OR APPEAL TO THE WRONG LEVEL OR WRONG OFFICE.
REJ,ATT,You did not submit the correct number of copies of the atachments (new documentation not considered by lower levels). 2 at institution; 3 at region; and 4 at Central Office.
REJ,DIR,Concur with rationale of Regional Office and/or institution for rejection. Follow directions provided on prior rejection notices.
REJ,ENG,You may request staff assistance in preparing your request or appeal in English.
REJ,LEG,All four pages of your (BP-9) (BP-10) (BP-11) form must be legible and worded the same. Photocopies of the form will not be accepted.
REJ,MEM,Provide staff verification stating reason untimely filing was not your fault.
REJ,PRV,Your issue is not appealable to the BOP. You must use the grievance procedures at your facility.
REJ,RJA,Your appeal of the rejection is untimely. Resubmissions are due within: 5 days (institution); 10 days (CCM or Regional Office); 15 days (Central Office). Submit staff memo on BOP leterhead stating reason untimely filing wasn’t your fault.
REJ,RVW,"Due to your allegations, your appeal is being forwarded to another department for review; however, your appeal was retained in accordance with policy."
