Facility_Code,Facility_Name,State,Fac_Coords_Method
ACC,ADAMS COUNTY CORR CTR CI,TN,NA
ALD,ALDERSON FPC,WV,BOP Official
ALF,ALLENWOOD LOW FCI,PA,NA
ALI,ALICEVILLE FCI,AL,BOP Official
ALM,ALLENWOOD MED FCI,PA,NA
ALP,ALLENWOOD USP,PA,NA
ALW,ALLENWOOD FPC,PA,NA
ASH,ASHLAND FCI,KY,BOP Official
ATL,ATLANTA USP,GA,BOP Official
ATW,ATWATER USP,CA,BOP Official
BAS,BASTROP FCI,TX,BOP Official
BEC,BECKLEY FCI,WV,BOP Official
BEN,BENNETTSVILLE FCI,SC,BOP Official
BER,BERLIN FCI,NH,BOP Official
BIG,BIG SPRING FCI,TX,BOP Official
BMA,BEAUMONT ADMIN,TX,NA
BML,BEAUMONT LOW FCI,TX,U.S. Census
BMM,BEAUMONT MED FCI,TX,U.S. Census
BMP,BEAUMONT USP,TX,U.S. Census
BRO,BROOKLYN MDC,NY,BOP Official
BRY,BRYAN FPC,TX,BOP Official
BSC,BIG SPRING CI,TX,NA
BSF,BIG SPRING CI FL,TX,NA
BSY,BIG SANDY USP,KY,BOP Official
BTF,BUTNER MED II FCI,NC,NA
BUF,BUTNER LOW FCI,NC,NA
BUH,BUTNER FMC,NC,NA
BUT,BUTNER MED I FCI,NC,NA
CAA,CANAAN USP,PA,BOP Official
CAC,ADAMS COUNTY CORR CTR CCM,MS,NA
CAL,CALIFORNIA CITY CI,CA,NA
CAT,ATLANTA CCM,GA,BOP Official
CBN,BOSTON CCM,MA,NA
CBR,BALTIMORE CCM,DC,BOP Official
CBS,BIG SPRING CCM,TX,NA
CCB,CIBOLA COUNTY CCM,NM,NA
CCC,CHICAGO MCC,IL,BOP Official
CCF,CALIFORNIA CITY CCM,CA,NA
CCH,CHICAGO CCM,IL,BOP Official
CCN,CINCINNATI CCM,OH,BOP Official
CDA,DALLAS CCM,TX,BOP Official
CDC,DIST OF COLUMBIA CCM,DC,NA
CDE,DENVER CCM,CO,NA
CDL,DALBY CCM,TX,NA
CDT,DETROIT CCM,MI,BOP Official
CED,EDEN CCM,TX,NA
CEP,EL PASO CCM,TX,NA
CGP,GREAT PLAINS CCM,OK,NA
CHN,HOUSTON CCM,TX,NA
CIB,CIBOLA COUNTY CI,NM,NA
CKC,KANSAS CITY CCM,KS,BOP Official
CLB,LONG BEACH CCM,CA,BOP Official
CLI,LIMESTONE CCM,AL,NA
CLP,COLEMAN II USP,FL,U.S. Census
CMC,MCRAE CCM,GA,NA
CMI,MILWAUKEE CCM,WI,NA
CMM,MIAMI CCM,FL,BOP Official
CMS,MINNEAPOLIS CCM,MN,BOP Official
CMV,MOSHANNON VALLEY CCM,PA,NA
CMY,MONTGOMERY CCM,AL,BOP Official
CNK,NEW YORK CCM,NY,BOP Official
CNO,NEW ORLEANS CCM,LA,NA
CNV,NASHVILLE CCM,TN,BOP Official
COA,COLEMAN ADMIN,FL,NA
COL,COLEMAN LOW FCI,FL,U.S. Census
COM,COLEMAN MED FCI,FL,U.S. Census
COP,COLEMAN I USP,FL,U.S. Census
COR,ORLANDO CCM,FL,BOP Official
CPA,PHILADELPHIA CCM,PA,BOP Official
CPG,PITTSBURGH CCM,PA,BOP Official
CPH,PHOENIX CCM,AZ,BOP Official
CRE,REEVES CCM,TX,NA
CRJ,D. RAY JAMES CORR FCL CCM,GA,NA
CRL,RALEIGH CCM,NC,BOP Official
CRS,REEVES DC CCM,TX,NA
CRV,RIVERS CCM,NC,NA
CRW,CARSWELL FMC,TX,BOP Official
CSA,SAN ANTONIO CCM,TX,BOP Official
CSC,SACRAMENTO CCM,CA,BOP Official
CSE,SEATTLE CCM,WA,BOP Official
CSF,SAN FRANCISCO CCM,CA,NA
CSL,SALT LAKE CITY CCM,UT,NA
CST,ST LOUIS CCM,MO,BOP Official
CTF,TAFT CCM,CA,NA
CUM,CUMBERLAND FCI,MD,BOP Official
DAL,DALBY CI,TX,NA
DAN,DANBURY FCI,CT,BOP Official
DEV,DEVENS FMC,MA,BOP Official
DRJ,D. RAY JAMES CORR FACL CI,GA,NA
DTH,DULUTH FPC,MN,BOP Official
DUB,DUBLIN FCI,CA,BOP Official
EDG,EDGEFIELD FCI,SC,BOP Official
EDN,EDEN CI,TX,NA
EGL,EGLIN FPC,FL,NA
