CASENBR,ITERLVL,CDFCLEVN,CDFCLRCV,CDOFCRCV,CDSTATUS,STATRSN1,STATRSN2,STATRSN3,STATRSN4,STATRSN5,CDSUB1PR,CDSUB1SC,sdtdue,sdtstat,sitdtrcv,accept,reject,deny,grant,other,submit,filed,diffreg_filed,diffinst,closed,comptime,timely,diffreg_answer,overdue,untimely,resubmit,noinfres,attachmt,wronglvl,otherrej,cdsub1cb,subcount,rejcount,cldclocount,clgacccount,earliest_sitdtrcv,latest_sdtstat,days_between
1200769,R,CNK,CNK,NER,REJ,FRM,RSR,,,,20,D,,2024-05-24,2024-05-22,0,1,0,0,0,1,0,,,0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,20D,1,1,0,0,2024-05-22,2024-05-24,2
1200767,R,BRO,BRO,NER,REJ,UTR,MEM,LEG,RSR,,31,Z,,2024-05-24,2024-05-22,0,1,0,0,0,1,0,,,0,,,,,1.0,1.0,0.0,0.0,0.0,0.0,31Z,1,1,0,0,2024-05-22,2024-05-24,2
1194383,A,OTV,OTV,BOP,REJ,WRL,RAP,,,,20,A,,2024-05-23,2024-05-20,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,0.0,0.0,1.0,0.0,20A,2,2,0,0,2024-03-14,2024-05-23,70
1200431,F,RBK,RBK,RBK,ACC,,,,,,38,D,2024-06-09,2024-05-21,2024-05-20,1,0,0,0,0,1,1,,0.0,0,,,,0.0,,,,,,,38D,1,0,0,1,2024-05-20,2024-05-21,1
1200393,F,OTV,OTV,OTV,REJ,INF,,,,,26,A,,2024-05-21,2024-05-20,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,26A,1,1,0,0,2024-05-20,2024-05-21,1
1179276,R,OTV,CPA,NER,REJ,DIR,OTH,,,,30,Z,,2024-05-21,2024-05-20,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,30Z,5,3,2,0,2023-10-24,2024-05-21,210
1200607,R,CNK,CNK,NER,ACC,,,,,,20,D,2024-07-19,2024-05-22,2024-05-20,1,0,0,0,0,1,1,0.0,0.0,0,,,,0.0,,,,,,,20D,1,0,0,1,2024-05-20,2024-05-22,2
1148222,R,RBK,OAD,NER,REJ,FRM,RSR,,,,20,D,,2024-05-24,2024-05-20,0,1,0,0,0,1,0,,,0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,20D,3,2,0,1,2022-11-15,2024-05-24,556
1196989,R,RBK,RBK,NER,ACC,,,,,,31,Z,2024-07-19,2024-05-24,2024-05-20,1,0,0,0,0,1,1,0.0,0.0,0,,,,0.0,,,,,,,31Z,2,0,0,2,2024-04-19,2024-05-24,35
1200763,R,CNK,BRO,NER,REJ,UTR,SIG,LEG,ATT,RSR,20,E,,2024-05-24,2024-05-20,0,1,0,0,0,1,0,,,0,,,,,1.0,1.0,0.0,0.0,0.0,0.0,20E,1,1,0,0,2024-05-20,2024-05-24,4
1200402,R,RBK,RBK,NER,ACC,,,,,,20,D,2024-07-19,2024-05-21,2024-05-20,1,0,0,0,0,1,1,0.0,0.0,0,,,,0.0,,,,,,,20D,1,0,0,1,2024-05-20,2024-05-21,1
1200428,F,RBK,RBK,RBK,ACC,,,,,,13,G,2024-06-09,2024-05-21,2024-05-20,1,0,0,0,0,1,1,,0.0,0,,,,0.0,,,,,,,13G,1,0,0,1,2024-05-20,2024-05-21,1
1200317,R,BRO,BRO,NER,REJ,SEN,INS,,,,23,B,,2024-05-21,2024-05-17,0,1,0,0,0,1,0,,,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,23B,1,1,0,0,2024-05-17,2024-05-21,4
1200373,R,RBK,RBK,NER,REJ,UTR,MEM,RSR,OTH,,20,D,,2024-05-21,2024-05-17,0,1,0,0,0,1,0,,,0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,20D,1,1,0,0,2024-05-17,2024-05-21,4
